"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","SCH_TESTED","sum_MATH1below","mean_ESCS","mean_ESCS_std","Y_MATH1","Y_MATH1_rate","Y_BIN_MATH1"
3200235,"Argentina","public",10.3619,544,17,17,-1.52551176470588,-0.0945352976473359,17,1,1
3200275,"Argentina","public",4.8462,126,11,11,-2.16092727272727,-0.955932229766662,11,1,1
3200279,"Argentina","public",8.4658,618,17,17,-1.90177058823529,-0.604608143178439,17,1,1
3200282,"Argentina","public",7.5455,83,15,15,-2.57082666666667,-1.51160969743885,15,1,1
3200289,"Argentina","public",3.0833,111,14,14,-1.86305,-0.552116827661766,14,1,1
3200296,"Argentina","private",10.2,102,19,19,-1.27673684210526,0.242714820442609,19,1,1
3200307,"Argentina","private",6.0588,103,14,13,-0.907114285714286,0.743791253261703,13,0.928571428571429,1
3200309,"Argentina","public",8.8594,567,17,14,-1.30891176470588,0.199097094294167,14,0.823529411764706,1
3200311,"Argentina","public",4.5484,141,18,18,-1.72238333333333,-0.36142296893706,18,1,1
3200319,"Argentina","private",4.3922,112,18,8,0.823972222222222,3.0905275043377,8,0.444444444444444,0
3200321,"Argentina","private",45.75,183,16,16,-1.4569125,-0.00153914722713019,16,1,1
3200327,"Argentina","public",5.4286,247,15,15,-1.25193333333333,0.276339537013448,15,1,1
3200329,"Argentina","public",4.0256,157,15,13,-1.5375,-0.110787071444978,13,0.866666666666667,1
3200343,"Argentina","private",8.359,163,19,17,-0.641605263157895,1.10372684594538,17,0.894736842105263,1
3200359,"Argentina","public",3.2754,226,19,18,-1.21146842105263,0.331195534163428,18,0.947368421052632,1
3200366,"Argentina","public",4.7619,500,10,10,-1.15183,0.41204397472344,10,1,0
3200373,"Argentina","public",6.425,257,12,12,-1.627225,-0.23242218855925,12,1,1
3200401,"Argentina","public",4.2353,72,13,13,-2.53405384615385,-1.46175886066316,13,1,1
3200411,"Argentina","public",100,280,17,17,-1.28352352941176,0.233514491600656,17,1,1
3200414,"Argentina","public",3.9623,105,12,12,-1.43106666666667,0.0334985899076256,12,1,1
3200416,"Argentina","public",3.1571,221,17,16,-1.46969411764706,-0.0188664646906001,16,0.941176470588235,1
3200445,"Argentina","public",5.2405,414,19,19,-0.955947368421053,0.677590999886517,19,1,1
3200448,"Argentina","public",3.6364,120,13,13,-1.95986923076923,-0.683369192928181,13,1,1
3600002,"Australia","private",12.8966,561,12,7,0.0731916666666667,-0.026905301053842,7,0.583333333333333,0
3600003,"Australia","public",18.1575,1153,17,14,-0.443964705882353,-1.27476235427589,14,0.823529411764706,1
3600007,"Australia","public",12.3165,856,18,10,-0.00502777777777778,-0.215642577881767,10,0.555555555555556,0
3600009,"Australia","public",12.6207,732,16,12,-0.25854375,-0.827356385994918,12,0.75,1
3600011,"Australia","public",19.8721,1709,14,8,-0.0906071428571428,-0.422138755813767,8,0.571428571428571,0
3600018,"Australia","public",9.44,236,18,9,-0.445633333333333,-1.2787886191436,9,0.5,0
3600027,"Australia","private",7.5407,509,18,11,0.304316666666667,0.53078087808844,11,0.611111111111111,1
3600033,"Australia","public",12.9956,1462,19,12,-0.234615789473684,-0.769620126911788,12,0.631578947368421,1
3600036,"Australia","public",11.5556,1040,13,6,-0.379492307692308,-1.11919560292166,6,0.461538461538462,0
3600043,"Australia","public",16.2245,795,17,6,0.311817647058824,0.548880145128886,6,0.352941176470588,0
3600050,"Australia","public",12.0233,1545,18,12,-0.715394444444444,-1.92970065088716,12,0.666666666666667,1
3600052,"Australia","public",11.9214,1669,17,9,-0.248082352941176,-0.802113869805732,9,0.529411764705882,0
3600063,"Australia","public",15.9029,819,19,12,0.452094736842105,0.887357567400112,12,0.631578947368421,1
3600065,"Australia","public",13.5283,717,19,9,-0.51228947368421,-1.43962456604961,9,0.473684210526316,0
3600090,"Australia","public",12,696,15,13,0.15406,0.168223533257769,13,0.866666666666667,1
3600093,"Australia","public",14.4969,1167,18,4,0.578433333333333,1.19220251777498,4,0.222222222222222,0
3600099,"Australia","public",11.1273,918,17,12,-0.208811764705882,-0.707357074540784,12,0.705882352941177,1
3600102,"Australia","private",12.5,200,19,8,0.804426315789474,1.73750554816518,8,0.421052631578947,0
3600111,"Australia","private",16.4194,509,19,7,0.299431578947368,0.518993551295794,7,0.368421052631579,0
3600117,"Australia","public",19.8476,1042,17,8,-0.166176470588235,-0.604481512515569,8,0.470588235294118,0
3600133,"Australia","private",14.1923,738,19,12,0.533821052631579,1.08455664490366,12,0.631578947368421,1
3600137,"Australia","private",12.925,1034,19,10,0.442826315789474,0.864993607103632,10,0.526315789473684,0
3600147,"Australia","public",14.9565,1720,19,8,0.0197473684210527,-0.15586212738391,8,0.421052631578947,0
3600167,"Australia","public",9.0909,100,10,5,-0.17258,-0.619932717926806,5,0.5,0
3600170,"Australia","public",12.9412,440,10,8,-1.01981,-2.66423109133823,8,0.8,0
3600179,"Australia","public",11.4553,1346,15,8,0.0013266666666666,-0.200309810579251,8,0.533333333333333,0
3600189,"Australia","public",12.2909,1352,18,7,0.255333333333333,0.412588004066506,7,0.388888888888889,0
3600194,"Australia","public",13.6327,1002,18,10,0.0536944444444444,-0.0739505422220373,10,0.555555555555556,0
3600198,"Australia","public",12.5389,1047,16,11,-0.146525,-0.557064082350594,11,0.6875,1
3600221,"Australia","public",14.8558,1597,14,3,0.347735714285714,0.635547574761943,3,0.214285714285714,0
3600222,"Australia","private",10.4902,1070,18,5,0.929705555555556,2.03979435530848,5,0.277777777777778,0
3600227,"Australia","public",13.9381,676,16,9,0.652925,1.37194496433539,9,0.5625,0
3600230,"Australia","private",12.7556,574,19,8,0.135389473684211,0.123173043334013,8,0.421052631578947,0
3600235,"Australia","public",7.7733,583,17,17,-0.398664705882353,-1.1654570696241,17,1,1
3600238,"Australia","public",11.9726,874,14,7,0.149871428571429,0.15811684468637,7,0.5,0
3600239,"Australia","public",15.2045,669,15,13,-0.491186666666667,-1.38870517691044,13,0.866666666666667,1
3600245,"Australia","private",9.5506,1275,18,2,1.14087222222222,2.54932266897228,2,0.111111111111111,0
3600255,"Australia","public",13.7939,1138,18,11,-0.367255555555556,-1.08966929661876,11,0.611111111111111,1
3600260,"Australia","public",12.3871,960,15,9,0.160713333333333,0.184277495595148,9,0.6,0
3600263,"Australia","private",18.3333,1100,15,10,0.48088,0.956814110076722,10,0.666666666666667,0
3600267,"Australia","public",15.4643,866,13,7,-0.104746153846154,-0.456255060909764,7,0.538461538461538,0
3600276,"Australia","public",9.3793,136,14,9,0.348821428571429,0.638167316683588,9,0.642857142857143,0
3600298,"Australia","public",6.1039,705,12,8,-0.0689333333333333,-0.369841583198122,8,0.666666666666667,0
3600303,"Australia","private",14.0506,555,19,11,0.39258947368421,0.743776116456327,11,0.578947368421053,1
3600329,"Australia","public",14.686,1520,16,9,0.205525,0.292404470887007,9,0.5625,0
3600342,"Australia","private",12.6442,2434,19,4,0.785231578947368,1.69119018007814,4,0.210526315789474,0
3600343,"Australia","public",13.3804,1231,14,13,-0.295178571428571,-0.915753286313186,13,0.928571428571429,1
3600349,"Australia","private",22.375,895,16,4,0.8739875,1.90535113405584,4,0.25,0
3600350,"Australia","private",12.3013,1470,19,5,0.612994736842105,1.27559642613021,5,0.263157894736842,0
3600358,"Australia","public",12.0341,1763,16,8,-0.12740625,-0.510932064449127,8,0.5,0
3600365,"Australia","public",14.6968,1139,10,7,-0.21364,-0.719007220968806,7,0.7,0
3600371,"Australia","public",15.4941,1317,13,9,-0.513630769230769,-1.44286100515598,9,0.692307692307692,0
3600373,"Australia","public",9,900,19,13,0.246921052631579,0.392289842108978,13,0.68421052631579,1
3600394,"Australia","private",14.5,1450,16,9,0.86329375,1.87954796876346,9,0.5625,0
3600411,"Australia","public",13.7742,1281,18,11,-0.2283,-0.754380630968701,11,0.611111111111111,1
3600412,"Australia","public",14.3546,1012,12,11,-0.228191666666667,-0.754119231281344,11,0.916666666666667,1
3600422,"Australia","public",7.84,196,14,4,-0.138228571428571,-0.537045462337497,4,0.285714285714286,0
3600426,"Australia","public",12.1406,1554,13,10,-0.417715384615385,-1.21142483699107,10,0.769230769230769,0
3600433,"Australia","public",10.5333,79,13,11,-0.377607692307692,-1.11464817640787,11,0.846153846153846,1
3600434,"Australia","public",25.2768,2831,18,13,0.267183333333333,0.441181108329723,13,0.722222222222222,1
3600446,"Australia","public",12.9326,1151,19,12,-0.0537,-0.33308476562206,12,0.631578947368421,1
3600450,"Australia","public",10.5691,650,10,7,-0.12109,-0.495691457292794,7,0.7,0
3600462,"Australia","public",11.1942,778,18,7,0.445116666666667,0.87052004097966,7,0.388888888888889,0
3600465,"Australia","public",13.3178,859,15,9,-0.0161933333333333,-0.242584172325374,9,0.6,0
3600467,"Australia","public",13.951,1423,19,3,0.183147368421053,0.238409031823656,3,0.157894736842105,0
3600468,"Australia","private",12.7945,934,16,7,0.638475,1.3370782675756,7,0.4375,0
3600469,"Australia","public",13.2752,989,11,8,-0.304627272727273,-0.938552248455445,8,0.727272727272727,0
3600474,"Australia","public",15.7723,1593,17,9,0.102905882352941,0.0447927299349652,9,0.529411764705882,0
3600477,"Australia","public",14.0667,1266,15,6,0.739413333333333,1.58063441012035,6,0.4,0
3600478,"Australia","public",11.1159,767,15,9,-0.0157333333333334,-0.241474229037519,9,0.6,0
3600490,"Australia","public",13.0746,876,14,6,-0.424828571428571,-1.22858838907488,6,0.428571428571429,0
3600493,"Australia","public",13.3333,360,13,6,-0.111992307692308,-0.47373945183216,6,0.461538461538462,0
3600508,"Australia","private",10.8727,897,19,6,0.581626315789474,1.19990692961287,6,0.31578947368421,0
3600518,"Australia","public",11.7432,869,17,5,0.0885823529411765,0.0102311966110965,5,0.294117647058824,0
3600520,"Australia","private",18.2889,823,17,3,0.62744705882353,1.31046872564586,3,0.176470588235294,0
3600527,"Australia","public",17.9,716,15,6,0.26646,0.439435762724908,6,0.4,0
3600532,"Australia","public",13.4615,525,16,12,0.2414125,0.378998144241116,12,0.75,1
3600534,"Australia","public",13.3117,1025,16,10,0.0645625,-0.0477267915352495,10,0.625,0
3600537,"Australia","public",15.5444,1399,12,5,-0.0695666666666667,-0.371369765985749,5,0.416666666666667,0
3600542,"Australia","private",15.9574,750,19,13,0.351384210526316,0.644351105007637,13,0.68421052631579,1
3600544,"Australia","public",13.5,864,19,9,0.348884210526316,0.638318804530165,9,0.473684210526316,0
3600557,"Australia","public",10.2618,980,11,9,-0.0209727272727272,-0.254116468462427,9,0.818181818181818,0
3600559,"Australia","private",5.5,176,14,13,0.0107071428571429,-0.177675470178161,13,0.928571428571429,1
3600560,"Australia","private",11.35,908,17,7,0.471329411764706,0.933769302887961,7,0.411764705882353,0
3600563,"Australia","private",16.0152,1057,19,5,0.767552631578947,1.64853229101745,5,0.263157894736842,0
3600580,"Australia","public",15.5929,881,16,7,0.70938125,1.5081693898679,7,0.4375,0
3600593,"Australia","public",11.1613,692,13,7,-0.122930769230769,-0.500133086536668,7,0.538461538461538,0
3600598,"Australia","public",13.6162,674,17,11,-0.357229411764706,-1.06547701182807,11,0.647058823529412,1
3600599,"Australia","public",12.5,600,15,12,-0.764853333333333,-2.04904100251103,12,0.8,1
3600608,"Australia","public",12.4865,924,14,6,0.39295,0.744646037683078,6,0.428571428571429,0
3600615,"Australia","public",9.3399,1429,19,10,-0.0415578947368421,-0.303786834671475,10,0.526315789473684,0
3600617,"Australia","public",14.3046,1080,16,9,-0.24830625,-0.80265411553967,9,0.5625,0
3600622,"Australia","private",11.2,672,17,3,0.443982352941176,0.867783032488509,3,0.176470588235294,0
3600632,"Australia","public",12.0753,1123,19,9,-0.0537578947368421,-0.333224461001538,9,0.473684210526316,0
3600640,"Australia","public",13,637,17,10,-0.238641176470588,-0.779333064473161,10,0.588235294117647,0
3600642,"Australia","public",10.2388,343,16,11,-0.38695,-1.13719041926907,11,0.6875,1
3600646,"Australia","public",14.6727,807,18,9,0.225922222222222,0.341621340227092,9,0.5,0
3600653,"Australia","public",13.095,1447,19,11,0.198357894736842,0.275110817886591,11,0.578947368421053,1
3600666,"Australia","public",13.6,1020,19,10,0.0903,0.0143757418803242,10,0.526315789473684,0
3600671,"Australia","public",14.5,1450,17,9,0.310994117647059,0.546893034383366,9,0.529411764705882,0
3600674,"Australia","public",14.3564,725,16,5,0.2005375,0.28037003143445,5,0.3125,0
3600683,"Australia","private",12.3306,746,19,5,0.717826315789474,1.52854665962555,5,0.263157894736842,0
3600701,"Australia","public",12.8172,596,17,11,0.0385176470588235,-0.110570943068348,11,0.647058823529412,1
3600707,"Australia","private",9.9174,1200,17,2,1.19762941176471,2.68627323760311,2,0.117647058823529,0
3600711,"Australia","private",8.3448,605,18,6,0.334616666666667,0.6038923598754,6,0.333333333333333,0
3600712,"Australia","public",12.9581,1082,19,11,0.120615789473684,0.0875253224071422,11,0.578947368421053,1
3600717,"Australia","public",15.0482,1249,18,11,-0.0806333333333333,-0.398072749432691,11,0.611111111111111,1
3600718,"Australia","public",14.85,1485,19,14,0.104226315789474,0.0479788304348312,14,0.736842105263158,1
3600722,"Australia","public",11.1507,407,13,9,-0.877669230769231,-2.32125675929863,9,0.692307692307692,0
3600725,"Australia","public",16.0494,1300,18,7,-0.243472222222222,-0.79098999231087,7,0.388888888888889,0
3600734,"Australia","private",11.1037,1338,19,4,1.02501578947368,2.26977034313739,4,0.210526315789474,0
3600737,"Australia","public",8.7826,101,11,4,-0.326736363636364,-0.991899720314397,4,0.363636363636364,0
3600738,"Australia","public",11.9008,720,17,9,0.247147058823529,0.392835177012823,9,0.529411764705882,0
3600743,"Australia","private",13.5236,3009,19,11,0.487047368421053,0.971695477865146,11,0.578947368421053,1
3600751,"Australia","public",12.35,988,16,6,-0.115075,-0.481177742343996,6,0.375,0
3600754,"Australia","private",14.7692,288,11,10,0.635981818181818,1.3310624188267,10,0.909090909090909,0
3600764,"Australia","public",9.5909,633,14,11,0.266664285714286,0.439928687849638,11,0.785714285714286,1
3600769,"Australia","public",13.6364,225,13,9,0.120815384615385,0.0880069295545743,9,0.692307692307692,0
3600770,"Australia","public",15.563,926,18,10,0.0076111111111111,-0.185145947690103,10,0.555555555555556,0
3600771,"Australia","public",15.3333,1242,17,8,0.130864705882353,0.112255139745375,8,0.470588235294118,0
7600012,"Brazil","public",24.6842,938,19,18,-1.94511052631579,-0.846989588340055,18,0.947368421052632,1
7600015,"Brazil","public",42.3871,657,10,10,-1.82951,-0.70041178805535,10,1,0
7600016,"Brazil","public",24.5946,910,16,16,-1.64974375,-0.472473885606273,16,1,1
7600035,"Brazil","public",21.7542,6548,19,15,-0.516847368421053,0.96400278845938,15,0.789473684210526,1
7600038,"Brazil","public",15.8214,443,19,15,-1.23313684210526,0.0557704579861549,15,0.789473684210526,1
7600039,"Brazil","public",17.3333,546,16,16,-1.45320625,-0.223270570175342,16,1,1
7600044,"Brazil","public",38.4286,538,19,19,-1.92453157894737,-0.820896135882946,19,1,1
7600050,"Brazil","private",48.2222,434,11,7,0.107363636363636,1.75548254128425,7,0.636363636363636,0
7600061,"Brazil","public",18.9714,664,19,19,-1.85019473684211,-0.726639378209234,19,1,1
7600069,"Brazil","public",24.3636,134,10,10,-1.74432,-0.592393570455345,10,1,0
7600084,"Brazil","public",21.0741,1138,16,16,-1.72024375,-0.561865649202943,16,1,1
7600086,"Brazil","public",28.5714,1400,15,14,-1.23158,0.057744484389432,14,0.933333333333333,1
7600087,"Brazil","private",14.9143,261,13,6,0.533730769230769,2.29610254052749,6,0.461538461538462,0
7600095,"Brazil","public",7.1348,635,11,6,-1.37639090909091,-0.125871154641398,6,0.545454545454545,0
7600098,"Brazil","public",57.6667,346,17,17,-1.44800588235294,-0.216676668965106,17,1,1
7600100,"Brazil","public",68.1395,1465,18,18,-1.61282222222222,-0.425658559609975,18,1,1
7600105,"Brazil","public",23.614,1346,13,12,-1.63789230769231,-0.457446632711964,12,0.923076923076923,1
7600110,"Brazil","public",16.6286,582,17,15,-0.756729411764706,0.659839967045734,15,0.88235294117647,1
7600132,"Brazil","public",27.2286,953,10,10,-1.55013,-0.346166810556942,10,1,0
7600134,"Brazil","private",6.9643,195,14,12,0.3506,2.06389853442319,12,0.857142857142857,1
7600155,"Brazil","public",36.45,729,19,17,-2.11606842105263,-1.06375877573439,17,0.894736842105263,1
7600158,"Brazil","public",7.8269,407,19,16,-1.1238,0.19440610538871,16,0.842105263157895,1
7600165,"Brazil","public",36.3636,1800,18,18,-1.05158888888889,0.285967503594346,18,1,1
7600175,"Brazil","public",12.0198,1214,16,16,-1.17290625,0.132140938138795,16,1,1
7600180,"Brazil","public",11.2135,499,18,17,-1.53054444444444,-0.321332947406138,17,0.944444444444444,1
7600184,"Brazil","public",29.0909,160,12,12,-1.82921666666667,-0.700039850693813,12,1,1
7600194,"Brazil","public",45.5556,1025,18,18,-1.00978888888889,0.338968577613365,18,1,1
7600196,"Brazil","public",30.3188,1046,19,13,-0.519352631578947,0.96082619424721,13,0.68421052631579,1
7600201,"Brazil","public",33.9459,628,13,13,-1.96313076923077,-0.869838684717509,13,1,1
7600208,"Brazil","public",24.2237,1841,19,19,-1.17149473684211,0.133930692046939,19,1,1
7600215,"Brazil","public",20.1918,737,15,15,-1.93516666666667,-0.834381089744412,15,1,1
7600218,"Brazil","public",15.8462,309,11,11,-2.15973636363636,-1.11912834169464,11,1,1
7600275,"Brazil","public",21.5402,937,18,15,-1.13017777777778,0.186319285482566,15,0.833333333333333,1
7600279,"Brazil","public",36.1053,686,19,18,-0.811189473684211,0.590786336115686,18,0.947368421052632,1
7600300,"Brazil","public",78.9778,1777,19,19,-2.62373157894737,-1.70745955583744,19,1,1
7600302,"Brazil","public",25.5319,1200,18,16,-2.43915555555556,-1.47342301330334,16,0.888888888888889,1
7600304,"Brazil","public",13.0263,495,13,12,-1.10504615384615,0.21818538740166,12,0.923076923076923,1
7600305,"Brazil","public",36.0968,1119,19,17,-1.68659473684211,-0.51919976793384,17,0.894736842105263,1
7600315,"Brazil","public",23.0638,542,18,18,-0.360772222222222,1.16190112281855,18,1,1
7600322,"Brazil","public",30.5085,1800,15,14,-0.414393333333333,1.09391125490032,14,0.933333333333333,1
7600330,"Brazil","public",32.4,405,16,16,-1.56301875,-0.362509336699589,16,1,1
7600334,"Brazil","public",32.9655,478,19,19,-2.87214210526316,-2.02243622311894,19,1,1
7600345,"Brazil","public",20,1000,19,13,-1.11222631578947,0.209081169826865,13,0.68421052631579,1
7600352,"Brazil","public",22.7368,216,16,16,-3.09718125,-2.30777871994607,16,1,1
7600354,"Brazil","public",32.5778,733,16,16,-1.5270875,-0.316949651511888,16,1,1
7600357,"Brazil","public",27.25,1090,17,17,-1.72722941176471,-0.570723246721197,17,1,1
7600358,"Brazil","public",35.7895,1360,14,14,-2.19885,-1.16872319183967,14,1,1
7600365,"Brazil","public",13.4676,936,15,12,-0.965413333333333,0.39523537437497,12,0.8,1
7600366,"Brazil","public",20.4444,368,19,19,-1.81907368421053,-0.687178870695452,19,1,1
7600367,"Brazil","public",39.1429,548,16,16,-0.78860625,0.619421147361497,16,1,1
7600370,"Brazil","public",28.7434,1624,19,17,-1.02022631578947,0.325734251399825,17,0.894736842105263,1
7600372,"Brazil","public",20,1120,11,11,-1.97219090909091,-0.88132665465411,11,1,1
7600377,"Brazil","public",14.813,911,16,2,0.25828125,1.94684128796163,2,0.125,0
7600378,"Brazil","public",29.9048,314,16,16,-1.53489375,-0.326847728881768,16,1,1
7600382,"Brazil","private",12.4091,273,19,10,0.122547368421053,1.7747350318742,10,0.526315789473684,0
7600383,"Brazil","public",60.9444,1097,17,16,-1.25246470588235,0.0312633398359386,16,0.941176470588235,1
7600390,"Brazil","public",18.8085,442,12,12,-1.92895,-0.826498553616384,12,1,1
7600397,"Brazil","private",33.75,270,19,11,0.254157894736842,1.94161300428916,11,0.578947368421053,1
7600400,"Brazil","public",28.4675,1096,17,17,-0.722111764705882,0.703734045374178,17,1,1
7600402,"Brazil","public",37.6905,1583,15,15,-1.14839333333333,0.163222538872576,15,1,1
7600417,"Brazil","public",27.0824,1151,14,14,-1.16987142857143,0.135988995439519,14,1,1
7600426,"Brazil","public",20.2667,152,11,9,-0.709427272727273,0.719817578825181,9,0.818181818181818,0
7600428,"Brazil","public",15.7358,417,18,17,-2.00341666666667,-0.920919924715657,17,0.944444444444444,1
7600447,"Brazil","private",13,286,16,12,0.47499375,2.22162586340054,12,0.75,1
7600459,"Brazil","private",10.8,270,12,9,-0.267558333333333,1.2800933769956,9,0.75,0
7600460,"Brazil","public",47.6533,1787,17,14,-0.682429411764706,0.754050010098679,14,0.823529411764706,1
7600462,"Brazil","public",13.2143,185,14,14,-2.48415714285714,-1.53048359845991,14,1,1
7600463,"Brazil","public",28.8696,664,15,15,-0.910613333333333,0.464720036007559,15,1,1
7600475,"Brazil","public",11.5556,312,14,14,-1.34030714285714,-0.0801180837074069,14,1,1
7600490,"Brazil","public",29.8795,1240,12,12,-0.989825,0.364282155429333,12,1,1
7600515,"Brazil","public",17.8649,1322,15,15,-1.41177333333333,-0.17073494617836,15,1,1
7600529,"Brazil","public",4,74,13,13,-2.45383846153846,-1.49204047231803,13,1,1
7600537,"Brazil","public",22.432,1402,12,12,-1.05349166666667,0.283554841732104,12,1,1
7600539,"Brazil","public",25.0526,476,13,13,-1.73943846153846,-0.586203934538439,13,1,1
7600559,"Brazil","public",32.129,498,19,19,-1.94182105263158,-0.842818640057269,19,1,1
7600568,"Brazil","private",28,462,15,7,0.542173333333333,2.30680744399425,7,0.466666666666667,0
7600571,"Brazil","public",28.125,450,13,13,-1.96605384615385,-0.873545053530027,13,1,1
7600572,"Brazil","public",22.3455,1229,12,11,-0.867341666666667,0.519587136675652,11,0.916666666666667,1
7600606,"Brazil","public",42.8293,878,19,18,-1.08611052631579,0.24219516243356,18,0.947368421052632,1
7600610,"Brazil","public",100,546,17,17,-1.26022352941176,0.0214253977263006,17,1,1
7600625,"Brazil","public",20.4737,778,18,18,-2.2764,-1.267054131796,18,1,1
9600035,"Brunei Darussalam","public",5.3651,338,17,2,0.448164705882353,-0.707106781186548,2,0.117647058823529,0
9600041,"Brunei Darussalam","public",8.2237,625,15,2,0.648306666666667,0.707106781186548,2,0.133333333333333,0
15200021,"Chile","private",26.1667,314,14,14,-0.571778571428571,-0.833971042601623,14,1,1
15200068,"Chile","private",10.5,378,14,4,0.990757142857143,1.08562682020969,4,0.285714285714286,0
15200130,"Chile","private",10.4615,272,14,5,0.690057142857143,0.716212494463396,5,0.357142857142857,0
15200140,"Chile","private",8.3902,172,13,7,0.256123076923077,0.183118179912744,7,0.538461538461538,0
15200155,"Chile","private",20.2917,487,19,15,-0.499547368421053,-0.745233958608054,15,0.789473684210526,1
15200181,"Chile","private",7.8545,216,11,5,0.206154545454545,0.121731111868247,5,0.454545454545455,0
15200185,"Chile","private",25.2,504,18,8,0.564194444444444,0.561588337926195,8,0.444444444444444,0
15200191,"Chile","private",10.2,357,14,5,0.698735714285714,0.72687424575281,5,0.357142857142857,0
15200209,"Chile","private",14.0187,750,15,14,-1.31280666666667,-1.74433484094363,14,0.933333333333333,1
15800004,"Chinese Taipei","public",8.6197,306,15,2,-0.59504,-0.442407140412209,2,0.133333333333333,0
15800005,"Chinese Taipei","public",11.6582,921,16,1,-0.9184375,-0.904744693674156,1,0.0625,0
15800056,"Chinese Taipei","private",17.2381,724,18,2,0.437744444444444,1.03408860581788,2,0.111111111111111,0
15800062,"Chinese Taipei","public",4.8966,71,12,6,-1.07779166666667,-1.13256159244042,6,0.5,0
15800174,"Chinese Taipei","private",9.3333,560,10,2,0.59953,1.2653814819492,2,0.2,0
17000012,"Colombia","public",23.0909,762,12,12,-2.41759166666667,-0.892068545563458,12,1,1
17000027,"Colombia","private",20.7368,394,12,11,-0.560183333333333,0.713598372658003,11,0.916666666666667,1
17000030,"Colombia","public",23.875,573,10,10,-2.39147,-0.869487244907719,10,1,0
17000031,"Colombia","private",14.5,435,11,4,0.572563636363636,1.69281995970341,4,0.363636363636364,0
17000049,"Colombia","public",20.3793,1182,14,14,-1.71044285714286,-0.280762227326809,14,1,1
17000050,"Colombia","public",15.0625,241,15,15,-2.74470666666667,-1.1748484408229,15,1,1
17000066,"Colombia","public",8.6415,458,16,16,-1.7685125,-0.330961476902329,16,1,1
17000116,"Colombia","public",21.697,358,17,17,-2.38667058823529,-0.865338315154787,17,1,1
17000130,"Colombia","public",14.2286,249,19,18,-2.0204,-0.548709733225525,18,0.947368421052632,1
17000139,"Colombia","private",54.3333,163,10,10,-0.45652,0.803211831356762,10,1,0
17000146,"Colombia","public",16.3542,785,16,11,-0.68334375,0.607130342377798,11,0.6875,1
17000164,"Colombia","public",26.9091,296,17,17,-2.74376470588235,-1.17403414746452,17,1,1
17000231,"Colombia","private",28.0769,365,13,9,-0.543530769230769,0.727993953211399,9,0.692307692307692,0
17000234,"Colombia","private",11.4545,189,14,9,0.455307142857143,1.59145567206067,9,0.642857142857143,0
18800014,"Costa Rica","private",6.2,93,12,7,0.639316666666667,1.05671443654817,7,0.583333333333333,0
18800021,"Costa Rica","private",2.4242,80,12,12,-1.29565833333333,-0.159108015222043,12,1,1
18800030,"Costa Rica","public",15.2941,130,11,11,-2.39049090909091,-0.847035263137633,11,1,1
18800034,"Costa Rica","public",15,90,15,15,-3.02894666666667,-1.24820263973039,15,1,1
18800035,"Costa Rica","private",17.1333,257,15,5,0.85054,1.18943453422612,5,0.333333333333333,0
18800039,"Costa Rica","public",16.6,83,10,10,-2.15987,-0.702126890099024,10,1,0
18800045,"Costa Rica","private",11.4667,86,15,12,0.62968,1.05065933211862,12,0.8,1
18800072,"Costa Rica","public",10.2,51,10,10,-3.42295,-1.49577074719377,10,1,0
18800099,"Costa Rica","private",11.2941,96,19,13,0.792284210526316,1.15283008363234,13,0.68421052631579,1
18800103,"Costa Rica","public",4.6875,150,13,13,-1.60835384615385,-0.355587155807828,13,1,1
18800114,"Costa Rica","private",29.8333,179,17,11,0.266364705882353,0.822373751343813,11,0.647058823529412,1
18800161,"Costa Rica","public",13.0526,248,11,11,-2.25752727272727,-0.763488873980193,11,1,1
18800171,"Costa Rica","private",14.4737,275,13,6,0.607661538461538,1.03682424903388,6,0.461538461538462,0
18800197,"Costa Rica","public",5.4,108,14,14,-2.21619285714286,-0.737516801732059,14,1,1
20800006,"Denmark","private",21.4444,193,14,6,0.405378571428571,0.116984091724259,6,0.428571428571429,0
20800017,"Denmark","public",16.359,957,17,9,0.438817647058824,0.198612750052985,9,0.529411764705882,0
20800063,"Denmark","private",13.5714,190,18,7,0.856744444444444,1.2188204892689,7,0.388888888888889,0
20800067,"Denmark","private",15.76,197,18,8,0.598577777777778,0.588605741163422,8,0.444444444444444,0
20800070,"Denmark","private",11.3333,170,15,13,-0.124373333333333,-1.17620169220572,13,0.866666666666667,1
20800090,"Denmark","private",13.125,315,12,6,0.4277,0.171473285337547,6,0.5,0
20800098,"Denmark","public",12.2917,590,14,6,0.5033,0.356021645402522,6,0.428571428571429,0
20800107,"Denmark","private",14.6,219,15,13,-0.20296,-1.36804085168067,13,0.866666666666667,1
20800115,"Denmark","public",10.5882,360,15,5,0.142413333333333,-0.524944525267433,5,0.333333333333333,0
20800118,"Denmark","public",12.9744,506,17,5,0.447441176470588,0.219663784588874,5,0.294117647058824,0
20800142,"Denmark","private",11.9375,191,19,13,0.173373684210526,-0.449366721280367,13,0.68421052631579,1
20800147,"Denmark","public",8.9231,522,19,10,-0.264584210526316,-1.51847269021149,10,0.526315789473684,0
20800158,"Denmark","public",16.8095,706,17,4,0.776029411764706,1.02178574173403,4,0.235294117647059,0
20800160,"Denmark","private",11.04,138,12,4,0.6386,0.686304623137855,4,0.333333333333333,0
