"CNTSCHID","CNT","PRIVATESCH","STRATIO","SCHSIZE","SCH_TESTED","sum_MATH1below","mean_ESCS","mean_ESCS_std","Y_MATH1","Y_MATH1_rate","Y_BIN_MATH1"
72400532,"Spain","public",5.8511,275,12,9,-1.103875,-1.50082688472752,9,0.75,0
72400541,"Spain","private",15.1818,334,15,4,-0.299673333333333,-0.218818127339058,4,0.266666666666667,0
72400554,"Spain","private",16.087,370,18,7,0.579766666666667,1.18313094629427,7,0.388888888888889,0
72400581,"Spain","private",14.087,810,13,5,-0.292161538461538,-0.206843286688375,5,0.384615384615385,0
72400611,"Spain","private",15.6615,509,19,3,1.18035263157895,2.14054809487285,3,0.157894736842105,0
72400614,"Spain","public",7.2857,153,17,11,-0.496282352941176,-0.532240115089412,11,0.647058823529412,1
72400631,"Spain","private",15.0566,399,18,10,0.185305555555556,0.554305342152321,10,0.555555555555556,0
72400636,"Spain","private",11.6226,308,12,3,0.0539,0.344826700196777,3,0.25,0
72400674,"Spain","private",17.1429,300,19,3,0.381257894736842,0.866680490418818,3,0.157894736842105,0
72400696,"Spain","private",8.5333,64,16,7,-0.3405625,-0.284001118026281,7,0.4375,0
72400744,"Spain","private",15.3077,398,17,13,-0.475776470588235,-0.499550900624822,13,0.764705882352941,1
72400753,"Spain","public",7.0794,223,19,15,-0.658773684210526,-0.79127378577361,15,0.789473684210526,1
72400754,"Spain","private",16.5313,529,15,6,-0.201373333333333,-0.0621143227154834,6,0.4,0
72400767,"Spain","private",12.3846,322,18,7,-0.973222222222222,-1.29254827473346,7,0.388888888888889,0
72400794,"Spain","public",8.8261,406,16,15,-0.51926875,-0.568883613295982,15,0.9375,1
72400825,"Spain","private",10.5833,127,17,9,0.184882352941176,0.553630698614174,9,0.529411764705882,0
72400828,"Spain","private",14.96,1309,17,11,0.386641176470588,0.875262186543321,11,0.647058823529412,1
72400931,"Spain","private",15.25,427,19,8,-0.0801473684210526,0.131136642909321,8,0.421052631578947,0
72400961,"Spain","private",10.6207,154,16,7,0.06264375,0.3587654478232,7,0.4375,0
72400971,"Spain","private",10.0952,212,17,6,0.842617647058824,1.60215178735721,6,0.352941176470588,0
72400973,"Spain","public",5.1333,154,16,6,-0.6063875,-0.707762957945524,6,0.375,0
72401008,"Spain","private",1.0556,19,14,8,-0.520764285714286,-0.571267704205229,8,0.571428571428571,0
72401010,"Spain","private",15.907,342,17,7,0.319041176470588,0.767498430769632,7,0.411764705882353,0
72401023,"Spain","private",16.4571,288,14,5,0.863471428571429,1.63539560123121,5,0.357142857142857,0
72401031,"Spain","private",7.5472,200,16,8,-0.10756875,0.0874231655801672,8,0.5,0
72401037,"Spain","private",12.9524,272,18,9,-0.0763166666666667,0.137243311671178,9,0.5,0
72401066,"Spain","public",7.6061,251,11,7,-0.491872727272727,-0.525210561486038,7,0.636363636363636,0
72401091,"Spain","private",13.5833,326,19,4,-0.0565473684210526,0.168758309126171,4,0.210526315789474,0
72401100,"Spain","public",7.3,365,10,9,-0.92002,-1.20773656937587,9,0.9,0
75200068,"Sweden","public",10.0211,476,19,13,-0.197947368421053,-1.18210737958078,13,0.68421052631579,1
75200089,"Sweden","private",14.1765,241,18,4,0.417116666666667,-0.034442112482559,4,0.222222222222222,0
75200133,"Sweden","private",11.9167,143,19,12,0.993194736842105,1.04047814713404,12,0.631578947368421,1
75200152,"Sweden","public",7.5455,332,17,2,0.566382352941176,0.244076926079666,2,0.117647058823529,0
75200197,"Sweden","public",11.3714,398,19,16,-0.372042105263158,-1.50695564132282,16,0.842105263157895,1
75200212,"Sweden","public",12.1676,1089,14,0,0.969421428571429,0.996118863173655,0,0,0
75600013,"Switzerland","public",11.6226,308,14,4,-0.615221428571429,-0.914793023877436,4,0.285714285714286,0
75600014,"Switzerland","public",12.8889,580,18,6,-0.169938888888889,0.161274640504625,6,0.333333333333333,0
75600016,"Switzerland","public",11.7465,417,14,3,-0.154021428571429,0.199740699288145,3,0.214285714285714,0
75600021,"Switzerland","public",9.76,122,16,8,-0.55328125,-0.765108683381436,8,0.5,0
75600044,"Switzerland","public",11.2,140,13,5,-0.1132,0.298389569129108,5,0.384615384615385,0
75600051,"Switzerland","public",11.9661,353,11,3,-0.0759181818181818,0.388484633362768,3,0.272727272727273,0
75600054,"Switzerland","public",24.1935,750,16,3,-0.02245625,0.517680483139313,3,0.1875,0
75600060,"Switzerland","public",11.3023,486,19,10,-0.126178947368421,0.267024706741215,10,0.526315789473684,0
75600068,"Switzerland","public",8.2581,256,13,6,-0.453476923076923,-0.523922022337178,6,0.461538461538462,0
75600077,"Switzerland","public",13.2,99,18,9,0.187161111111111,1.02424079952984,9,0.5,0
75600123,"Switzerland","public",6.1538,80,19,13,-0.837389473684211,-1.45168326344371,13,0.68421052631579,1
75600132,"Switzerland","public",7.5484,234,11,1,0.0492,0.690844635569026,1,0.0909090909090909,0
75600135,"Switzerland","public",8.5714,60,13,6,-0.174423076923077,0.150438173060744,6,0.461538461538462,0
75600161,"Switzerland","private",8.5217,98,13,5,0.600961538461538,2.02422894120889,5,0.384615384615385,0
75600164,"Switzerland","public",7.9459,294,14,11,-0.571207142857143,-0.808428310673584,11,0.785714285714286,1
75600174,"Switzerland","public",11.1228,317,11,6,-0.143263636363636,0.225737928694893,6,0.545454545454545,0
75600185,"Switzerland","private",11.8,59,11,8,0.562645454545455,1.93163447532833,8,0.727272727272727,0
75600197,"Switzerland","public",11.6744,251,10,8,-0.47796,-0.583087709409221,8,0.8,0
75600226,"Switzerland","public",8.4727,233,15,13,-0.92262,-1.6576509473598,13,0.866666666666667,1
76400007,"Thailand","public",12.3333,333,10,10,-1.60263,0.234796930761166,10,1,0
76400041,"Thailand","public",19.6404,874,14,10,-2.75449285714286,-1.94739009875284,10,0.714285714285714,0
76400049,"Thailand","public",1,19,19,17,-1.65104736842105,0.143070947310587,17,0.894736842105263,1
76400064,"Thailand","public",9.4545,208,16,11,-0.00980624999999999,3.25237780507942,11,0.6875,1
76400069,"Thailand","public",10.2667,154,10,9,-2.46993,-1.40829000355672,9,0.9,0
76400078,"Thailand","public",22.5378,1341,12,12,-1.65954166666667,0.126978625779897,12,1,1
76400088,"Thailand","public",12,168,15,15,-1.65712666666667,0.131553807316133,15,1,1
76400095,"Thailand","public",21.2,1696,17,16,-1.44477058823529,0.53385923553425,16,0.941176470588235,1
76400097,"Thailand","public",18.7671,685,13,13,-1.93481538461538,-0.394523333545188,13,1,1
76400101,"Thailand","private",8.5397,269,19,19,-1.36959473684211,0.676278766492825,19,1,1
76400103,"Thailand","public",15.05,602,13,12,-2.0765,-0.66294272744847,12,0.923076923076923,1
76400121,"Thailand","public",20.5423,2917,13,13,-1.7195,0.013388456169062,13,1,1
76400140,"Thailand","public",18.8837,812,19,14,-1.83474210526316,-0.204935996086422,14,0.736842105263158,1
76400141,"Thailand","public",22.6512,974,15,14,-1.58803333333333,0.262450098390122,14,0.933333333333333,1
76400146,"Thailand","public",1.8621,108,17,14,-1.80337647058824,-0.145514268286407,14,0.823529411764706,1
76400159,"Thailand","public",16,536,12,11,-1.70335833333333,0.0439686032901443,11,0.916666666666667,1
76400209,"Thailand","public",20.5663,1707,18,16,-1.2931,0.821196906293757,16,0.888888888888889,1
76400230,"Thailand","public",5.4231,141,17,15,-1.99096470588235,-0.500897386519446,15,0.88235294117647,1
76400233,"Thailand","public",18.0822,1320,18,16,-1.68725555555556,0.0744750759903532,16,0.888888888888889,1
76400240,"Thailand","public",17.0189,451,10,8,-1.51702,0.396983800871802,8,0.8,0
76400251,"Thailand","public",12.3478,284,14,14,-2.62997857142857,-1.71149963871241,14,1,1
76400271,"Thailand","public",21.2889,958,17,17,-1.69942941176471,0.051411886693086,17,1,1
76400284,"Thailand","public",18.1875,582,14,14,-1.61402857142857,0.213202506935299,14,1,1
78400033,"United Arab Emirates","public",15.1392,598,17,17,-0.155511764705882,-0.26980191660759,17,1,1
78400036,"United Arab Emirates","public",10.3933,925,10,10,0.21841,0.278958989424164,10,1,0
78400054,"United Arab Emirates","public",8.4103,328,15,14,-0.350126666666667,-0.555415272148113,14,0.933333333333333,1
78400076,"United Arab Emirates","private",10.1477,893,12,8,0.386383333333333,0.52547365449502,8,0.666666666666667,0
78400078,"United Arab Emirates","private",10.9433,1543,12,3,1.11285833333333,1.59163539429906,3,0.25,0
78400099,"United Arab Emirates","private",100,1138,17,9,0.588182352941176,0.821630292831985,9,0.529411764705882,0
78400120,"United Arab Emirates","public",5.3778,121,15,15,-0.448433333333333,-0.699688381019952,15,1,1
78400140,"United Arab Emirates","public",10.3636,228,14,14,-0.510392857142857,-0.790619071962092,14,1,1
78400151,"United Arab Emirates","public",5.5,220,12,11,0.53015,0.736463047742083,11,0.916666666666667,1
78400170,"United Arab Emirates","private",6.8132,310,10,2,1.36253,1.95804907476033,2,0.2,0
78400186,"United Arab Emirates","private",15.4699,1284,13,12,-0.453076923076923,-0.706503230422838,12,0.923076923076923,1
78400193,"United Arab Emirates","public",10.6122,520,12,11,-1.13078333333333,-1.7010930586142,11,0.916666666666667,1
78400216,"United Arab Emirates","public",16.8621,489,17,17,-0.66695294117647,-1.0203838561283,17,1,1
78400223,"United Arab Emirates","private",100,1126,13,7,0.902646153846154,1.28313175272839,7,0.538461538461538,0
78400229,"United Arab Emirates","private",16.1852,437,10,9,-0.48328,-0.750828726881412,9,0.9,0
78400245,"United Arab Emirates","private",1,47,12,12,-0.808791666666667,-1.22854383732547,12,1,1
78400250,"United Arab Emirates","private",18.0541,1336,16,6,0.4950125,0.684895880073045,6,0.375,0
78400252,"United Arab Emirates","public",14.2941,486,12,12,-0.492608333333333,-0.764518822337056,12,1,1
78400259,"United Arab Emirates","public",7.4082,363,15,11,0.896326666666667,1.27385738616939,11,0.733333333333333,1
78400261,"United Arab Emirates","public",1,18,17,14,-0.0934823529411764,-0.178768659350176,14,0.823529411764706,1
78400263,"United Arab Emirates","public",4.9474,94,15,14,-0.00278666666666664,-0.0456652894184478,14,0.933333333333333,1
78400271,"United Arab Emirates","public",7.4524,313,12,8,0.123191666666667,0.13921826341445,8,0.666666666666667,0
78400273,"United Arab Emirates","public",13.6232,470,15,14,-1.04327333333333,-1.57266494498297,14,0.933333333333333,1
78400279,"United Arab Emirates","public",13.2115,687,17,17,-0.381,-0.600724424947888,17,1,1
78400313,"United Arab Emirates","private",8.0328,980,18,8,1.28990555555556,1.85146673670164,8,0.444444444444444,0
